Datos de la Planta a lazo abierto (Gla) o lazo cerrado (Glc)
C:\Users\Paulo\Documents\PAULO\CONTROL\ETN1040\3D printer\3D PRINTER PROJECT\analisis\datos recolectados\Gp_tm1000ms_19V_3kHz.txt
28/02/2014 01:54:19 p.m.

r(t):Voltaje[V]  y(t):Voltaje[V]  y(t):Temp[°C]  Tiempo de muestreo:tm[ms]
1,03085                      0,89304                     53,5824                     265970,6706
1,03085                      0,88328                     52,9968                     266984,6724
1,03085                      0,91256                     54,7536                     267998,6742
1,03085                      0,89792                     53,8752                     269012,6759
1,03085                      0,93208                     55,9248                     270026,6777
1,03085                      0,9028                     54,168                     271040,6795
1,03085                      0,976                     58,56                     272054,6813
1,03085                      0,93696                     56,2176                     273068,6831
1,03085                      0,91256                     54,7536                     274082,6848
1,03085                      0,90768                     54,4608                     275096,6866
1,03085                      0,95648                     57,3888                     276110,6884
1,03085                      0,95648                     57,3888                     277124,6902
1,03085                      0,94672                     56,8032                     278138,692
1,03085                      0,9516                     57,096                     279152,6937
1,03085                      0,9516                     57,096                     280166,6955
1,03085                      0,9516                     57,096                     281180,6973
1,03085                      0,95648                     57,3888                     282194,6991
1,03085                      0,94672                     56,8032                     283208,7009
1,03085                      0,97112                     58,2672                     284222,7026
1,03085                      0,9272                     55,632                     285236,7044
1,03085                      0,96136                     57,6816                     286250,7062
1,03085                      0,94184                     56,5104                     287264,708
1,03085                      0,96624                     57,9744                     288278,7098
1,03085                      0,94184                     56,5104                     289292,7116
1,03085                      0,97112                     58,2672                     290306,7133
1,03085                      0,94184                     56,5104                     291320,7151
1,03085                      0,98088                     58,8528                     292334,7169
1,03085                      0,97112                     58,2672                     293348,7187
1,03085                      1,0004                     60,024                     294362,7205
1,03085                      0,95648                     57,3888                     295392,3223
1,03085                      0,97112                     58,2672                     296562,3243
1,03085                      0,97112                     58,2672                     297467,1259
1,03085                      1,0004                     60,024                     298418,7276
1,03085                      0,94672                     56,8032                     299432,7294
1,03085                      0,9516                     57,096                     300446,7311
1,03085                      0,96624                     57,9744                     301460,7329
1,03085                      1,00528                     60,3168                     302474,7347
1,03085                      0,99552                     59,7312                     303488,7365
1,03085                      0,98576                     59,1456                     304502,7383
1,03085                      0,9516                     57,096                     305516,74
1,03085                      0,976                     58,56                     306530,7418
1,03085                      0,976                     58,56                     307544,7436
1,03085                      0,98576                     59,1456                     308699,1456
1,03085                      0,96624                     57,9744                     309603,9472
1,03085                      0,96136                     57,6816                     310617,949
1,03085                      0,96624                     57,9744                     311593,1512
1,03085                      0,98576                     59,1456                     312617,5529
1,03085                      0,96136                     57,6816                     313771,9549
1,03085                      0,97112                     58,2672                     314645,5564
1,03085                      0,99064                     59,4384                     315659,5582
1,03085                      0,96624                     57,9744                     316845,1603
1,03085                      1,0004                     60,024                     317687,5618
1,03085                      0,99552                     59,7312                     318701,5636
1,03085                      0,97112                     58,2672                     319715,5653
1,03085                      0,976                     58,56                     320901,1674
1,03085                      1,00528                     60,3168                     321743,5689
1,03085                      0,976                     58,56                     322757,5707
1,03085                      0,99064                     59,4384                     323818,3725
1,03085                      1,01016                     60,6096                     324785,5742
1,03085                      0,98576                     59,1456                     325799,576
1,03085                      1,03456                     62,0736                     326813,5778
1,03085                      1,02968                     61,7808                     327827,5796
1,03085                      1,03944                     62,3664                     328841,5814
1,03085                      0,98576                     59,1456                     329855,5831
1,03085                      1,0004                     60,024                     331041,1852
1,03085                      0,99552                     59,7312                     331883,5867
1,03085                      1,02968                     61,7808                     332897,5885
1,03085                      0,98576                     59,1456                     333911,5903
1,03085                      1,01992                     61,1952                     335097,1924
1,03085                      1,0004                     60,024                     335939,5938
1,03085                      1,05408                     63,2448                     336953,5956
1,03085                      1,0248                     61,488                     337967,5974
1,03085                      1,00528                     60,3168                     339153,1995
